index, timestamp, power.draw [W]
2, 2019/09/06 14:17:16.571, 32.95 W
0, 2019/09/06 14:17:18.576, 30.26 W
1, 2019/09/06 14:17:18.667, 32.47 W
2, 2019/09/06 14:17:18.672, 32.94 W
0, 2019/09/06 14:17:20.676, 29.77 W
1, 2019/09/06 14:17:20.767, 32.47 W
2, 2019/09/06 14:17:20.772, 33.18 W
0, 2019/09/06 14:17:22.776, 31.24 W
1, 2019/09/06 14:17:22.867, 32.47 W
2, 2019/09/06 14:17:22.872, 32.94 W
0, 2019/09/06 14:17:24.877, 30.99 W
1, 2019/09/06 14:17:24.967, 32.47 W
2, 2019/09/06 14:17:24.971, 33.18 W
0, 2019/09/06 14:17:26.976, 31.24 W
1, 2019/09/06 14:17:27.067, 32.47 W
2, 2019/09/06 14:17:27.071, 33.19 W
0, 2019/09/06 14:17:29.076, 31.24 W
1, 2019/09/06 14:17:29.367, 32.22 W
2, 2019/09/06 14:17:29.576, 33.18 W
0, 2019/09/06 14:17:31.667, 31.24 W
1, 2019/09/06 14:17:31.672, 32.47 W
2, 2019/09/06 14:17:31.767, 33.18 W
0, 2019/09/06 14:17:33.771, 31.24 W
1, 2019/09/06 14:17:33.775, 32.22 W
2, 2019/09/06 14:17:33.867, 33.18 W
0, 2019/09/06 14:17:35.871, 30.99 W
1, 2019/09/06 14:17:36.066, 32.22 W
2, 2019/09/06 14:17:36.070, 33.18 W
0, 2019/09/06 14:17:38.075, 30.99 W
1, 2019/09/06 14:17:38.167, 32.22 W
2, 2019/09/06 14:17:38.367, 32.69 W
0, 2019/09/06 14:17:40.371, 30.75 W
1, 2019/09/06 14:17:40.470, 32.22 W
2, 2019/09/06 14:17:40.566, 32.71 W
0, 2019/09/06 14:17:42.570, 30.99 W
1, 2019/09/06 14:17:42.878, 32.22 W
2, 2019/09/06 14:17:42.967, 32.94 W
0, 2019/09/06 14:17:45.167, 30.99 W
1, 2019/09/06 14:17:45.246, 32.22 W
2, 2019/09/06 14:17:45.258, 33.18 W
0, 2019/09/06 14:17:47.262, 30.75 W
1, 2019/09/06 14:17:47.350, 32.22 W
2, 2019/09/06 14:17:47.355, 33.18 W
0, 2019/09/06 14:17:49.359, 30.99 W
1, 2019/09/06 14:17:49.747, 32.22 W
2, 2019/09/06 14:17:49.755, 33.18 W
0, 2019/09/06 14:17:51.759, 30.99 W
1, 2019/09/06 14:17:51.763, 32.22 W
2, 2019/09/06 14:17:51.767, 33.19 W
0, 2019/09/06 14:17:53.771, 30.99 W
1, 2019/09/06 14:17:53.778, 32.22 W
2, 2019/09/06 14:17:53.783, 32.71 W
0, 2019/09/06 14:17:55.787, 30.99 W
1, 2019/09/06 14:17:55.792, 32.22 W
2, 2019/09/06 14:17:55.796, 33.18 W
0, 2019/09/06 14:17:57.800, 30.75 W
1, 2019/09/06 14:17:57.805, 32.22 W
2, 2019/09/06 14:17:57.810, 33.18 W
0, 2019/09/06 14:17:59.815, 30.99 W
1, 2019/09/06 14:17:59.819, 32.22 W
2, 2019/09/06 14:17:59.824, 33.18 W
0, 2019/09/06 14:18:01.829, 31.24 W
1, 2019/09/06 14:18:01.837, 32.22 W
2, 2019/09/06 14:18:01.841, 33.18 W
0, 2019/09/06 14:18:03.847, 30.26 W
1, 2019/09/06 14:18:03.852, 32.22 W
2, 2019/09/06 14:18:03.857, 34.89 W
0, 2019/09/06 14:18:05.862, 30.26 W
1, 2019/09/06 14:18:05.866, 32.22 W
