alpha,bias,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1000.0,0.0,10000.0,0.0,linear,0.027302026748657227,0.01,0.556,0.565
1000.0,0.0,10000.0,0.0,linear,0.02446269989013672,0.1,0.706,0.7043333333333334
1000.0,0.0,10000.0,0.0,linear,0.019046783447265625,1.0,0.8058,0.8183333333333334
1000.0,1.0,10000.0,0.0,linear,0.019147634506225586,1e-05,0.3347,0.34491666666666665
1000.0,1.0,10000.0,0.0,linear,0.019057750701904297,0.0001,0.3055,0.3095
1000.0,1.0,10000.0,0.0,linear,0.018995046615600586,0.001,0.2921,0.28475
1000.0,1.0,10000.0,0.0,linear,0.02466607093811035,0.01,0.5608,0.5649166666666666
1000.0,1.0,10000.0,0.0,linear,0.019073009490966797,0.1,0.7029,0.7095833333333333
1000.0,1.0,10000.0,0.0,linear,0.01920795440673828,1.0,0.8055,0.81275
1000.0,2.0,10000.0,0.0,linear,0.019092798233032227,1e-05,0.3185,0.32216666666666666
1000.0,2.0,10000.0,0.0,linear,0.018992900848388672,0.0001,0.2897,0.2861666666666667
1000.0,2.0,10000.0,0.0,linear,0.019058704376220703,0.001,0.2949,0.29133333333333333
1000.0,2.0,10000.0,0.0,linear,0.019077777862548828,0.01,0.5544,0.5610833333333334
1000.0,2.0,10000.0,0.0,linear,0.02475714683532715,0.1,0.7049,0.7155
1000.0,2.0,10000.0,0.0,linear,0.019258499145507812,1.0,0.8063,0.81275
1000.0,4.0,10000.0,0.0,linear,0.01895451545715332,1e-05,0.3037,0.2961666666666667
1000.0,4.0,10000.0,0.0,linear,0.01901078224182129,0.0001,0.3085,0.30483333333333335
1000.0,4.0,10000.0,0.0,linear,0.01900029182434082,0.001,0.3237,0.3249166666666667
1000.0,4.0,10000.0,0.0,linear,0.01909351348876953,0.01,0.5686,0.5726666666666667
1000.0,4.0,10000.0,0.0,linear,0.024343013763427734,0.1,0.7051,0.7145
1000.0,4.0,10000.0,0.0,linear,0.019112348556518555,1.0,0.8066,0.8175
1000.0,8.0,10000.0,0.0,linear,0.018949031829833984,1e-05,0.3142,0.31133333333333335
1000.0,8.0,10000.0,0.0,linear,0.019116878509521484,0.0001,0.3018,0.3011666666666667
1000.0,8.0,10000.0,0.0,linear,0.019097566604614258,0.001,0.3023,0.29441666666666666
1000.0,8.0,10000.0,0.0,linear,0.02535700798034668,0.01,0.5617,0.5650833333333334
1000.0,8.0,10000.0,0.0,linear,0.02076268196105957,0.1,0.7065,0.7155
1000.0,8.0,10000.0,0.0,linear,0.02395915985107422,1.0,0.8057,0.8156666666666667
1000.0,16.0,10000.0,0.0,linear,0.01936936378479004,1e-05,0.3064,0.30716666666666664
1000.0,16.0,10000.0,0.0,linear,0.01959371566772461,0.0001,0.3144,0.31666666666666665
1000.0,16.0,10000.0,0.0,linear,0.018687963485717773,0.001,0.31,0.31525
1000.0,16.0,10000.0,0.0,linear,0.018490076065063477,0.01,0.5628,0.57425
1000.0,16.0,10000.0,0.0,linear,0.01836681365966797,0.1,0.705,0.7128333333333333
1000.0,16.0,10000.0,0.0,linear,0.018329858779907227,1.0,0.8057,0.8140833333333334
10000.0,0.0,10000.0,0.0,linear,0.01857161521911621,1e-05,0.3339,0.33625
10000.0,0.0,10000.0,0.0,linear,0.018362760543823242,0.0001,0.3025,0.29883333333333334
10000.0,0.0,10000.0,0.0,linear,0.0186154842376709,0.001,0.319,0.33016666666666666
10000.0,0.0,10000.0,0.0,linear,0.020247936248779297,0.01,0.3693,0.37883333333333336
10000.0,0.0,10000.0,0.0,linear,0.020247459411621094,0.1,0.6362,0.6440833333333333
10000.0,0.0,10000.0,0.0,linear,0.019168615341186523,1.0,0.7858,0.7979166666666667
10000.0,1.0,10000.0,0.0,linear,0.01908278465270996,1e-05,0.324,0.32233333333333336
10000.0,1.0,10000.0,0.0,linear,0.019005775451660156,0.0001,0.3136,0.3194166666666667
10000.0,1.0,10000.0,0.0,linear,0.01891636848449707,0.001,0.3033,0.30283333333333334
10000.0,1.0,10000.0,0.0,linear,0.01934027671813965,0.01,0.3507,0.35225
10000.0,1.0,10000.0,0.0,linear,0.019031763076782227,0.1,0.6362,0.649
10000.0,1.0,10000.0,0.0,linear,0.018925905227661133,1.0,0.7841,0.7971666666666667
