alpha,gamma,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-05,0.0009765625,10000.0,0.10234332084655762,rbf,1.7927517890930176,100.0,0.8812,0.8900833333333333
1e-05,0.001953125,10000.0,0.10904479026794434,rbf,1.7756612300872803,0.001,0.8328,0.8368333333333333
1e-05,0.001953125,10000.0,0.10799479484558105,rbf,1.7843868732452393,0.01,0.88,0.8825
1e-05,0.001953125,10000.0,0.16188454627990723,rbf,1.7422008514404297,0.1,0.8814,0.8895
1e-05,0.001953125,10000.0,0.1012568473815918,rbf,1.8001019954681396,1.0,0.8816,0.8843333333333333
1e-05,0.001953125,10000.0,0.1358933448791504,rbf,1.8190765380859375,10.0,0.8825,0.8915
1e-05,0.001953125,10000.0,0.12852191925048828,rbf,1.785118818283081,100.0,0.8814,0.889
1e-05,0.00390625,10000.0,0.1018366813659668,rbf,1.7492613792419434,0.001,0.8509,0.8578333333333333
1e-05,0.00390625,10000.0,0.1019902229309082,rbf,1.7883987426757812,0.01,0.8823,0.88925
1e-05,0.00390625,10000.0,0.13712620735168457,rbf,1.8349254131317139,0.1,0.8797,0.8876666666666667
1e-05,0.00390625,10000.0,0.1122443675994873,rbf,1.7745275497436523,1.0,0.8798,0.8861666666666667
1e-05,0.00390625,10000.0,0.10897564888000488,rbf,1.8421757221221924,10.0,0.8828,0.8865833333333333
1e-05,0.00390625,10000.0,0.13692283630371094,rbf,1.8323500156402588,100.0,0.8832,0.88275
1e-05,0.0078125,10000.0,0.1397571563720703,rbf,1.8138923645019531,0.001,0.8606,0.86475
1e-05,0.0078125,10000.0,0.1126408576965332,rbf,1.8341331481933594,0.01,0.8861,0.8911666666666667
1e-05,0.0078125,10000.0,0.1021890640258789,rbf,1.792724847793579,0.1,0.8815,0.8875
1e-05,0.0078125,10000.0,0.14496874809265137,rbf,1.7346510887145996,1.0,0.8827,0.8885833333333333
1e-05,0.0078125,10000.0,0.15454339981079102,rbf,1.7747023105621338,10.0,0.8841,0.8874166666666666
1e-05,0.0078125,10000.0,0.1444683074951172,rbf,1.8369183540344238,100.0,0.8845,0.8896666666666667
1e-05,0.015625,10000.0,0.10190844535827637,rbf,1.7930700778961182,0.001,0.8649,0.87775
1e-05,0.015625,10000.0,0.14490056037902832,rbf,1.839284896850586,0.01,0.8833,0.888
1e-05,0.015625,10000.0,0.10732102394104004,rbf,1.8540284633636475,0.1,0.882,0.88525
1e-05,0.015625,10000.0,0.10216140747070312,rbf,1.776167392730713,1.0,0.8821,0.8859166666666667
1e-05,0.015625,10000.0,0.10435199737548828,rbf,1.7991747856140137,10.0,0.8796,0.8818333333333334
1e-05,0.015625,10000.0,0.14156556129455566,rbf,1.8161180019378662,100.0,0.879,0.8890833333333333
1e-05,0.03125,10000.0,0.14897966384887695,rbf,1.8178198337554932,0.001,0.8558,0.8586666666666667
1e-05,0.03125,10000.0,0.10216498374938965,rbf,1.7935397624969482,0.01,0.8634,0.8695
1e-05,0.03125,10000.0,0.12063264846801758,rbf,1.8197529315948486,0.1,0.8626,0.8703333333333333
1e-05,0.03125,10000.0,0.10626053810119629,rbf,1.786170244216919,1.0,0.8609,0.865
1e-05,0.03125,10000.0,0.10867047309875488,rbf,1.7746129035949707,10.0,0.863,0.8685833333333334
1e-05,0.03125,10000.0,0.10279464721679688,rbf,1.7956957817077637,100.0,0.8585,0.86875
1e-05,0.0625,10000.0,0.11356067657470703,rbf,1.7639892101287842,0.001,0.7369,0.7474166666666666
1e-05,0.0625,10000.0,0.10146212577819824,rbf,1.810544490814209,0.01,0.7318,0.73975
1e-05,0.0625,10000.0,0.10639286041259766,rbf,1.7848799228668213,0.1,0.7312,0.7414166666666666
1e-05,0.0625,10000.0,0.1010274887084961,rbf,1.8046133518218994,1.0,0.7327,0.7351666666666666
1e-05,0.0625,10000.0,0.11110043525695801,rbf,1.8298733234405518,10.0,0.7331,0.7378333333333333
1e-05,0.0625,10000.0,0.10512709617614746,rbf,1.7875983715057373,100.0,0.7332,0.7311666666666666
0.0001,0.000244140625,10000.0,0.1057882308959961,rbf,1.7822747230529785,0.001,0.7325,0.741
0.0001,0.000244140625,10000.0,0.13853096961975098,rbf,1.8267734050750732,0.01,0.818,0.826
