alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
100.0,0.5,5.0,opu,10000.0,0.01,0.0,0.8344,219.61153078079224,0.8284,4.0
10.0,0.5,5.0,opu,10000.0,0.01,0.0,0.8638,219.61153078079224,0.8633333333333333,4.0
1.0,0.5,5.0,opu,10000.0,0.01,0.0,0.8759,219.61153078079224,0.87995,4.0
0.1,0.5,5.0,opu,10000.0,0.01,0.0,0.8827,219.61153078079224,0.8829833333333333,4.0
0.01,0.5,5.0,opu,10000.0,0.01,0.0,0.8836,219.61153078079224,0.8783333333333333,4.0
0.0,0.5,5.0,opu,10000.0,0.01,0.0,0.8836,219.61153078079224,0.8750333333333333,4.0
100.0,0.5,5.0,opu,10000.0,0.001,0.0,0.7286,214.81675744056702,0.709,1.0
10.0,0.5,5.0,opu,10000.0,0.001,0.0,0.7912,214.81675744056702,0.7828,1.0
1.0,0.5,5.0,opu,10000.0,0.001,0.0,0.8344,214.81675744056702,0.8284,1.0
0.1,0.5,5.0,opu,10000.0,0.001,0.0,0.8638,214.81675744056702,0.8633333333333333,1.0
0.01,0.5,5.0,opu,10000.0,0.001,0.0,0.8759,214.81675744056702,0.87995,1.0
0.0,0.5,5.0,opu,10000.0,0.001,0.0,0.8836,214.81675744056702,0.87505,1.0
100.0,0.5,5.0,opu,10000.0,0.0001,0.0,0.6264,219.96006846427917,0.6298333333333334,2.0
10.0,0.5,5.0,opu,10000.0,0.0001,0.0,0.6556,219.96006846427917,0.6459333333333334,2.0
1.0,0.5,5.0,opu,10000.0,0.0001,0.0,0.7286,219.96006846427917,0.709,2.0
0.1,0.5,5.0,opu,10000.0,0.0001,0.0,0.7912,219.96006846427917,0.7828,2.0
0.01,0.5,5.0,opu,10000.0,0.0001,0.0,0.8344,219.96006846427917,0.8284,2.0
0.0,0.5,5.0,opu,10000.0,0.0001,0.0,0.8836,219.96006846427917,0.8751,2.0
100.0,0.5,5.0,opu,10000.0,1e-05,0.0,0.6231,218.14153289794922,0.6281166666666667,2.0
10.0,0.5,5.0,opu,10000.0,1e-05,0.0,0.6236,218.14153289794922,0.6284333333333333,2.0
1.0,0.5,5.0,opu,10000.0,1e-05,0.0,0.6264,218.14153289794922,0.6298333333333334,2.0
0.1,0.5,5.0,opu,10000.0,1e-05,0.0,0.6555,218.14153289794922,0.6459333333333334,2.0
0.01,0.5,5.0,opu,10000.0,1e-05,0.0,0.7286,218.14153289794922,0.709,2.0
0.0,0.5,5.0,opu,10000.0,1e-05,0.0,0.8836,218.14153289794922,0.8751166666666667,2.0
