alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
0.1,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.8764666666666666,7.0
0.01,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.8765166666666667,7.0
0.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.87655,7.0
100.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8784,222.98636078834534,0.8797,6.0
10.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8832,222.98636078834534,0.8835666666666666,6.0
1.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8837,222.98636078834534,0.8798,6.0
0.1,0.5,0.0,opu,10000.0,0.1,4.0,0.884,222.98636078834534,0.8767833333333334,6.0
0.01,0.5,0.0,opu,10000.0,0.1,4.0,0.8841,222.98636078834534,0.8765166666666667,6.0
0.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8842,222.98636078834534,0.8764833333333333,6.0
100.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8345,222.91398763656616,0.8290833333333333,4.0
10.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8649,222.91398763656616,0.8646833333333334,4.0
1.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8784,222.91398763656616,0.8797,4.0
0.1,0.5,0.0,opu,10000.0,0.01,4.0,0.8832,222.91398763656616,0.88355,4.0
0.01,0.5,0.0,opu,10000.0,0.01,4.0,0.8837,222.91398763656616,0.87985,4.0
0.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8841,222.91398763656616,0.8764833333333333,4.0
100.0,0.5,0.0,opu,10000.0,0.001,4.0,0.729,224.28810262680054,0.7099,1.0
10.0,0.5,0.0,opu,10000.0,0.001,4.0,0.7918,224.28810262680054,0.7839833333333334,1.0
1.0,0.5,0.0,opu,10000.0,0.001,4.0,0.8345,224.28810262680054,0.8290833333333333,1.0
0.1,0.5,0.0,opu,10000.0,0.001,4.0,0.8649,224.28810262680054,0.8646833333333334,1.0
0.01,0.5,0.0,opu,10000.0,0.001,4.0,0.8784,224.28810262680054,0.8797,1.0
0.0,0.5,0.0,opu,10000.0,0.001,4.0,0.884,224.28810262680054,0.8764833333333333,1.0
100.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.6298,222.46162629127502,0.6319666666666667,2.0
10.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.6582,222.46162629127502,0.6476166666666666,2.0
1.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.729,222.46162629127502,0.7099,2.0
0.1,0.5,0.0,opu,10000.0,0.0001,4.0,0.7918,222.46162629127502,0.7839833333333334,2.0
0.01,0.5,0.0,opu,10000.0,0.0001,4.0,0.8345,222.46162629127502,0.8290833333333333,2.0
0.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.8841,222.46162629127502,0.8764,2.0
100.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.6265,225.8210015296936,0.6297333333333334,2.0
10.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.6269,225.8210015296936,0.6301,2.0
1.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.6298,225.8210015296936,0.6319666666666667,2.0
0.1,0.5,0.0,opu,10000.0,1e-05,4.0,0.6582,225.8210015296936,0.6476166666666666,2.0
0.01,0.5,0.0,opu,10000.0,1e-05,4.0,0.729,225.8210015296936,0.7099,2.0
0.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.8841,225.8210015296936,0.8765166666666667,2.0
