alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
1.0,0.5,5.0,opu,5000.0,1e-05,0.0,0.6254,62.62251257896423,0.548,2.0
0.1,0.5,5.0,opu,5000.0,1e-05,0.0,0.6408,62.62251257896423,0.6563333333333333,2.0
0.01,0.5,5.0,opu,5000.0,1e-05,0.0,0.7033,62.62251257896423,0.7123333333333334,2.0
0.0,0.5,5.0,opu,5000.0,1e-05,0.0,0.8751,62.62251257896423,0.8825833333333334,2.0
100.0,0.5,10.0,opu,5000.0,1.0,0.0,0.8768,61.493004322052,0.8815833333333334,12.0
10.0,0.5,10.0,opu,5000.0,1.0,0.0,0.8771,61.493004322052,0.8819166666666667,12.0
1.0,0.5,10.0,opu,5000.0,1.0,0.0,0.8771,61.493004322052,0.882,12.0
0.1,0.5,10.0,opu,5000.0,1.0,0.0,0.877,61.493004322052,0.882,12.0
0.01,0.5,10.0,opu,5000.0,1.0,0.0,0.877,61.493004322052,0.882,12.0
0.0,0.5,10.0,opu,5000.0,1.0,0.0,0.8771,61.493004322052,0.882,12.0
100.0,0.5,10.0,opu,5000.0,0.1,0.0,0.87,61.57332897186279,0.875,8.0
10.0,0.5,10.0,opu,5000.0,0.1,0.0,0.8762,61.57332897186279,0.8815833333333334,8.0
1.0,0.5,10.0,opu,5000.0,0.1,0.0,0.8768,61.57332897186279,0.8816666666666667,8.0
0.1,0.5,10.0,opu,5000.0,0.1,0.0,0.8771,61.57332897186279,0.8819166666666667,8.0
0.01,0.5,10.0,opu,5000.0,0.1,0.0,0.877,61.57332897186279,0.8819166666666667,8.0
0.0,0.5,10.0,opu,5000.0,0.1,0.0,0.8771,61.57332897186279,0.882,8.0
100.0,0.5,10.0,opu,5000.0,0.01,0.0,0.8185,62.79040050506592,0.82275,4.0
10.0,0.5,10.0,opu,5000.0,0.01,0.0,0.8536,62.79040050506592,0.8596666666666667,4.0
1.0,0.5,10.0,opu,5000.0,0.01,0.0,0.87,62.79040050506592,0.875,4.0
0.1,0.5,10.0,opu,5000.0,0.01,0.0,0.8762,62.79040050506592,0.8815833333333334,4.0
0.01,0.5,10.0,opu,5000.0,0.01,0.0,0.8769,62.79040050506592,0.8815833333333334,4.0
0.0,0.5,10.0,opu,5000.0,0.01,0.0,0.877,62.79040050506592,0.882,4.0
100.0,0.5,10.0,opu,5000.0,0.001,0.0,0.6975,62.13207817077637,0.70625,2.0
10.0,0.5,10.0,opu,5000.0,0.001,0.0,0.773,62.13207817077637,0.78125,2.0
1.0,0.5,10.0,opu,5000.0,0.001,0.0,0.8185,62.13207817077637,0.82275,2.0
0.1,0.5,10.0,opu,5000.0,0.001,0.0,0.8536,62.13207817077637,0.8596666666666667,2.0
0.01,0.5,10.0,opu,5000.0,0.001,0.0,0.87,62.13207817077637,0.875,2.0
0.0,0.5,10.0,opu,5000.0,0.001,0.0,0.877,62.13207817077637,0.8819166666666667,2.0
100.0,0.5,10.0,opu,5000.0,0.0001,0.0,0.621,63.10551381111145,0.54675,2.0
10.0,0.5,10.0,opu,5000.0,0.0001,0.0,0.6379,63.10551381111145,0.652,2.0
1.0,0.5,10.0,opu,5000.0,0.0001,0.0,0.6975,63.10551381111145,0.70625,2.0
0.1,0.5,10.0,opu,5000.0,0.0001,0.0,0.773,63.10551381111145,0.78125,2.0
0.01,0.5,10.0,opu,5000.0,0.0001,0.0,0.8185,63.10551381111145,0.82275,2.0
0.0,0.5,10.0,opu,5000.0,0.0001,0.0,0.8769,63.10551381111145,0.882,2.0
100.0,0.5,10.0,opu,5000.0,1e-05,0.0,0.6205,63.051210165023804,0.09575,2.0
10.0,0.5,10.0,opu,5000.0,1e-05,0.0,0.6207,63.051210165023804,0.18525,2.0
1.0,0.5,10.0,opu,5000.0,1e-05,0.0,0.621,63.051210165023804,0.54675,2.0
0.1,0.5,10.0,opu,5000.0,1e-05,0.0,0.6379,63.051210165023804,0.652,2.0
0.01,0.5,10.0,opu,5000.0,1e-05,0.0,0.6975,63.051210165023804,0.70625,2.0
0.0,0.5,10.0,opu,5000.0,1e-05,0.0,0.8769,63.051210165023804,0.882,2.0
100.0,0.5,20.0,opu,5000.0,1.0,0.0,0.8773,64.24718880653381,0.8836666666666667,12.0
10.0,0.5,20.0,opu,5000.0,1.0,0.0,0.878,64.24718880653381,0.88275,12.0
1.0,0.5,20.0,opu,5000.0,1.0,0.0,0.8783,64.24718880653381,0.88275,12.0
0.1,0.5,20.0,opu,5000.0,1.0,0.0,0.8783,64.24718880653381,0.88275,12.0
0.01,0.5,20.0,opu,5000.0,1.0,0.0,0.8783,64.24718880653381,0.88275,12.0
0.0,0.5,20.0,opu,5000.0,1.0,0.0,0.8783,64.24718880653381,0.88275,12.0
100.0,0.5,20.0,opu,5000.0,0.1,0.0,0.8661,63.55729913711548,0.8735833333333334,8.0
10.0,0.5,20.0,opu,5000.0,0.1,0.0,0.8759,63.55729913711548,0.882,8.0
1.0,0.5,20.0,opu,5000.0,0.1,0.0,0.8774,63.55729913711548,0.8836666666666667,8.0
0.1,0.5,20.0,opu,5000.0,0.1,0.0,0.878,63.55729913711548,0.88275,8.0
0.01,0.5,20.0,opu,5000.0,0.1,0.0,0.8783,63.55729913711548,0.88275,8.0
0.0,0.5,20.0,opu,5000.0,0.1,0.0,0.8783,63.55729913711548,0.88275,8.0
100.0,0.5,20.0,opu,5000.0,0.01,0.0,0.8107,62.379581689834595,0.8169166666666666,4.0
10.0,0.5,20.0,opu,5000.0,0.01,0.0,0.8458,62.379581689834595,0.8519166666666667,4.0
1.0,0.5,20.0,opu,5000.0,0.01,0.0,0.8661,62.379581689834595,0.8735833333333334,4.0
0.1,0.5,20.0,opu,5000.0,0.01,0.0,0.8759,62.379581689834595,0.882,4.0
0.01,0.5,20.0,opu,5000.0,0.01,0.0,0.8773,62.379581689834595,0.8836666666666667,4.0
0.0,0.5,20.0,opu,5000.0,0.01,0.0,0.8783,62.379581689834595,0.88275,4.0
100.0,0.5,20.0,opu,5000.0,0.001,0.0,0.6837,63.173479318618774,0.694,2.0
10.0,0.5,20.0,opu,5000.0,0.001,0.0,0.7673,63.173479318618774,0.7749166666666667,2.0
1.0,0.5,20.0,opu,5000.0,0.001,0.0,0.8107,63.173479318618774,0.8169166666666666,2.0
0.1,0.5,20.0,opu,5000.0,0.001,0.0,0.8458,63.173479318618774,0.8519166666666667,2.0
0.01,0.5,20.0,opu,5000.0,0.001,0.0,0.8661,63.173479318618774,0.8735833333333334,2.0
0.0,0.5,20.0,opu,5000.0,0.001,0.0,0.8783,63.173479318618774,0.88275,2.0
100.0,0.5,20.0,opu,5000.0,0.0001,0.0,0.6114,63.83094525337219,0.49241666666666667,2.0
10.0,0.5,20.0,opu,5000.0,0.0001,0.0,0.6242,63.83094525337219,0.6429166666666667,2.0
1.0,0.5,20.0,opu,5000.0,0.0001,0.0,0.6837,63.83094525337219,0.694,2.0
0.1,0.5,20.0,opu,5000.0,0.0001,0.0,0.7673,63.83094525337219,0.7749166666666667,2.0
0.01,0.5,20.0,opu,5000.0,0.0001,0.0,0.8107,63.83094525337219,0.8169166666666666,2.0
0.0,0.5,20.0,opu,5000.0,0.0001,0.0,0.8783,63.83094525337219,0.88275,2.0
100.0,0.5,20.0,opu,5000.0,1e-05,0.0,0.6097,62.861724853515625,0.09575,2.0
10.0,0.5,20.0,opu,5000.0,1e-05,0.0,0.6101,62.861724853515625,0.17475,2.0
1.0,0.5,20.0,opu,5000.0,1e-05,0.0,0.6114,62.861724853515625,0.49241666666666667,2.0
0.1,0.5,20.0,opu,5000.0,1e-05,0.0,0.6242,62.861724853515625,0.6429166666666667,2.0
0.01,0.5,20.0,opu,5000.0,1e-05,0.0,0.6837,62.861724853515625,0.694,2.0
0.0,0.5,20.0,opu,5000.0,1e-05,0.0,0.8783,62.861724853515625,0.88275,2.0
100.0,1.0,0.0,opu,5000.0,1.0,0.0,0.8769,63.451632261276245,0.8814166666666666,12.0
10.0,1.0,0.0,opu,5000.0,1.0,0.0,0.8767,63.451632261276245,0.8814166666666666,12.0
1.0,1.0,0.0,opu,5000.0,1.0,0.0,0.8767,63.451632261276245,0.8813333333333333,12.0
0.1,1.0,0.0,opu,5000.0,1.0,0.0,0.8767,63.451632261276245,0.8814166666666666,12.0
0.01,1.0,0.0,opu,5000.0,1.0,0.0,0.8767,63.451632261276245,0.8814166666666666,12.0
0.0,1.0,0.0,opu,5000.0,1.0,0.0,0.8767,63.451632261276245,0.8814166666666666,12.0
